brand,model,year,variant,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,drive_type,seating_capacity,body_type,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,country_of_origin,market_segment,annual_sales_units,customer_rating,warranty_years
Fisker,Ronin,2026,Base,50395.94,63.9,243,106.1,7.33,147,334,275,FWD,7,Sedan,34.5,1500,5,1,US,Mid-range,11950,3.48,4
Ford,E-Transit,2025,Performance,69597.51,106.2,361,219,3.88,192,783,728,AWD,5,Sedan,38.9,1500,5,1,US,Premium,24574,3.79,3
Tesla,Model X,2023,Base,109503.65,47.9,155,304.7,6.19,164,825,733,RWD,5,Van,72.8,1500,5,3,US,Luxury,174834,3.59,4
BMW,i7,2025,Performance,156773.89,81.4,266,182.2,4.2,190,1000,908,AWD,5,Truck,76.8,2499,5,1,Germany,Luxury,58126,3.6,5
Tesla,Cybertruck,2024,Standard,121805.3,58.9,204,274.6,5.61,173,850,776,FWD,7,Truck,56.2,2502,4,3,US,Luxury,225373,3.75,5
Tesla,Model X,2024,Long Range,117517.98,101,350,245.4,4.65,186,881,810,AWD,5,Truck,80,2225,5,2,US,Luxury,122440,3.96,5
Audi,e-tron GT,2025,Standard,53762.11,52.1,156,112.8,6.45,154,207,200,FWD,5,Coupe,17.6,1899,4,2,Germany,Mid-range,69650,3.68,7
BMW,i3,2024,Long Range,120387.4,79.4,285,134.3,4.2,193,1000,988,RWD,5,Truck,62.9,2464,4,2,Germany,Luxury,62864,3.27,8
Hyundai,Ioniq,2025,Base,45100.09,79.5,257,85.6,5.25,174,478,396,AWD,5,Hatchback,39.6,1705,4,1,South Korea,Mid-range,128526,3.61,4
Kia,Sportage EV,2023,Standard,77484.79,81.2,284,147.7,5.31,169,923,832,FWD,5,SUV,55.4,2017,3,1,South Korea,Premium,101678,3.34,4
Tesla,Model Y,2023,Standard,98108.77,46.5,150,338.8,5.21,174,760,665,FWD,5,SUV,44.4,2146,5,2,US,Premium,431290,3.33,4
Fisker,Ronin,2020,Performance,143106.79,75.3,272,170.3,3.68,197,1000,935,AWD,5,Hatchback,38.4,1705,4,1,US,Luxury,18708,3.53,4
Audi,e-tron GT,2025,Base,63332.23,84.4,310,92.7,5.62,162,284,288,RWD,7,Coupe,31.7,1565,5,1,Germany,Mid-range,62327,3.85,6
Kia,Sportage EV,2024,Long Range,95244.75,77.2,262,94.4,4.04,194,1000,842,AWD,5,SUV,67.4,2045,4,1,South Korea,Premium,76023,3.44,3
Tesla,Model X,2025,Base,73015.63,82.4,304,275.5,5.58,156,528,501,RWD,7,Truck,62.4,2036,5,2,US,Premium,173406,3.75,5
Tesla,Cybertruck,2025,Performance,117415.98,78.1,263,215.8,2.94,200,927,847,AWD,5,Truck,61.7,2353,5,2,US,Luxury,183531,3.7,5
Tesla,Model 3,2025,Standard,71316.86,73.9,249,282,6.73,144,502,509,RWD,5,SUV,52.9,2053,5,3,US,Premium,242716,3.7,5
Volkswagen,ID. Aero,2024,Long Range,42431.05,88.6,306,104.2,5.94,166,337,286,AWD,5,Coupe,39.7,1590,3,1,Germany,Mid-range,260840,3.53,4
Mercedes,EQC,2025,Performance,188302.14,78.5,277,225,4.32,185,1000,943,RWD,7,Coupe,28.5,1500,4,2,Germany,Luxury,43172,4,7
Volkswagen,ID.4,2023,Long Range,94330.19,105.4,383,105.8,5.17,177,1000,868,FWD,7,Sedan,21.8,1500,5,1,Germany,Premium,232451,3.95,3
BYD,Dolphin,2024,Premium,83518.44,77.1,267,148.3,7.36,146,954,884,AWD,5,Coupe,21.5,1652,3,1,China,Premium,148454,3.28,5
Tesla,Model Y,2025,Performance,43196.41,111.9,408,293.7,4.23,197,338,357,RWD,7,Truck,70.3,2547,5,3,US,Mid-range,437912,4.03,5
Ford,Explorer EV,2024,Long Range,66402.61,90.5,334,96.1,5.88,162,752,677,RWD,5,Van,67.5,1894,5,1,US,Premium,36517,3.69,3
Tesla,Model X,2024,Performance,42932.18,99,356,209.1,3.87,192,227,200,RWD,7,Hatchback,27.2,1500,5,2,US,Mid-range,238196,4,5
Tesla,Model S,2024,Premium,66707.72,45.8,150,301.1,5.19,166,486,420,AWD,5,Van,69.7,1686,5,2,US,Premium,187104,3.23,5
Tesla,Model S,2020,Performance,102900.51,74.1,231,323.4,2.61,200,708,567,RWD,5,Truck,79.8,2284,3,2,US,Luxury,184383,3.8,5
GM/Chevrolet,Bolt EUV,2025,Performance,102049.38,116.6,395,163.2,4.21,192,1000,893,AWD,5,Van,72.1,1834,4,1,US,Luxury,7957,4.16,5
Tesla,Model 3,2024,Performance,139025.28,93.4,320,293.9,3.06,200,995,917,AWD,5,Coupe,17.8,1500,4,2,US,Luxury,220216,4.07,5
Volkswagen,ID.3,2025,Base,38889.44,65,231,142.7,6.1,160,313,257,FWD,5,Sedan,20.9,1571,5,1,Germany,Mid-range,293320,3.41,3
Tesla,Model 3,2025,Performance,169366.43,117.4,416,241.6,3.06,200,1000,931,RWD,7,SUV,44.7,1923,5,2,US,Luxury,248754,4.09,5
Mercedes,GLE EV,2023,Standard,144581.79,42.8,150,146.8,6.34,156,852,767,FWD,7,SUV,57.7,1857,4,1,Germany,Luxury,76491,3.42,7
BMW,iX,2023,Premium,86081.93,72.3,247,125.7,5.89,166,612,541,AWD,7,Truck,60.3,2745,4,2,Germany,Premium,51887,3.42,6
Tesla,Cybertruck,2024,Long Range,158925.9,82.5,291,310.8,4.06,186,1000,962,AWD,5,Truck,67,2567,5,3,US,Luxury,138950,3.85,6
BMW,i3,2024,Standard,84405.92,52.5,173,105.6,5.09,169,612,505,RWD,5,Truck,57.9,2679,3,1,Germany,Premium,42777,3.19,6
Audi,Q6 e-tron,2024,Standard,73910.79,41.9,150,94.4,7.68,142,431,377,FWD,5,SUV,53,2121,4,1,Germany,Premium,36319,3,5
Hyundai,Ioniq 5,2025,Performance,57904.84,80.5,286,194.1,2.76,200,704,589,AWD,7,Sedan,30.1,1792,4,2,South Korea,Mid-range,68118,3.73,4
Tesla,Cybertruck,2024,Base,38394.15,47.7,189,334.7,5.25,169,227,200,AWD,7,Truck,68.1,2403,3,3,US,Mid-range,246203,3.51,4
Hyundai,Ioniq,2024,Standard,44654.99,65.4,223,143.4,7.07,146,440,435,RWD,5,SUV,43.9,1844,4,1,South Korea,Mid-range,128091,3,4
Volkswagen,ID.4,2023,Performance,80921.96,108.9,399,199.3,3.77,198,878,828,RWD,5,Hatchback,29.1,1500,3,1,Germany,Premium,234095,3.86,5
Tesla,Model X,2023,Performance,184745.86,106.3,348,325.6,3.73,198,1000,915,RWD,5,Coupe,31.5,1782,3,3,US,Luxury,148529,4.29,5
Tesla,Cybertruck,2024,Performance,177944.09,93,295,334.1,3.79,193,1000,868,RWD,5,Truck,59.7,2270,3,3,US,Luxury,234160,3.91,6
Tesla,Cybertruck,2024,Base,59967.87,70,238,220.7,5.24,159,393,348,AWD,7,Truck,63.9,2448,4,2,US,Mid-range,228933,3.44,5
BMW,iX,2024,Performance,84125.95,98.9,363,225.3,4.25,192,658,592,RWD,5,Hatchback,34.2,1588,5,1,Germany,Premium,33561,3.47,7
Hyundai,Kona Electric,2022,Long Range,84513.62,109.9,400,83.7,5.88,165,1000,907,RWD,7,Coupe,32.6,1784,4,1,South Korea,Premium,95418,3.69,4
Audi,e-tron,2025,Premium,80343.06,66.3,231,56.2,6.02,161,459,414,RWD,7,Van,67.1,1500,5,1,Germany,Premium,43236,3.38,7
GM/Chevrolet,Bolt EUV,2024,Premium,43668.28,79.4,284,108.1,7.81,120,453,469,RWD,7,Truck,60.3,2572,4,1,US,Mid-range,1211,3.34,3
BYD,Qin,2025,Long Range,61700.64,101.3,351,69.9,4.53,175,649,584,AWD,7,SUV,62.5,1726,5,1,China,Mid-range,190763,4,3
Tesla,Model 3,2025,Premium,152706.13,77.1,260,325.6,6.63,155,1000,857,AWD,5,SUV,42.1,1903,4,2,US,Luxury,172494,3.77,5
BYD,Max,2023,Performance,26461.18,71.3,265,249.5,2.9,200,236,202,RWD,7,SUV,41.5,2379,3,2,China,Budget,226324,3.6,3
Tesla,Model 3,2026,Base,36489.36,45.5,150,253.7,7.97,131,247,226,AWD,5,Van,65.7,1500,3,2,US,Mid-range,214895,3.58,5
Rivian,R3,2021,Base,60978.95,84.5,304,61.5,6.47,153,150,200,FWD,5,Hatchback,16.8,1500,5,2,US,Mid-range,7599,3.41,6
Ford,F-150 Lightning,2025,Base,57536.04,73.3,254,69.5,7.43,139,619,529,FWD,4,Truck,74.1,2341,4,1,US,Mid-range,44164,3.54,4
BMW,i3,2025,Performance,162822.68,70.6,255,193.4,2.76,200,1000,867,AWD,7,Truck,62.6,2729,5,1,Germany,Luxury,48304,3.22,7
Mercedes,EQG,2023,Long Range,163924.89,83.9,285,119.9,4.66,180,1000,946,AWD,5,Coupe,27.2,1540,4,1,Germany,Luxury,50822,3.77,6
Tesla,Model Y,2026,Standard,96644.91,76.4,244,238.4,5.98,164,684,604,RWD,5,Sedan,28.9,1500,5,2,US,Premium,408778,4.03,4
Audi,e-tron,2025,Standard,72972.25,58,223,129.9,7.8,139,409,398,FWD,7,SUV,63.6,1928,5,1,Germany,Premium,23427,3.35,5
Kia,Niro EV,2023,Premium,38796.18,49.4,150,141.2,5.12,168,376,343,RWD,7,Coupe,38.4,1751,5,1,South Korea,Mid-range,146563,3.09,4
Ford,Mustang Mach-E,2023,Base,59885.41,65.9,231,81.2,6.28,148,667,623,AWD,5,Truck,65.7,2597,4,1,US,Mid-range,28589,3.5,4
Audi,Q6 e-tron,2024,Long Range,130606.12,106.6,385,58.2,5.2,169,1000,873,RWD,7,SUV,61.8,2080,5,2,Germany,Luxury,39897,3.7,7
Tesla,Model S,2023,Performance,65004.86,111,405,260.3,3.66,200,448,345,RWD,7,Truck,71.3,2744,4,3,US,Premium,208805,4.34,4
Ford,Explorer EV,2024,Base,53737.95,61.5,226,78.1,7.47,152,555,526,RWD,7,Sedan,32.6,1500,3,1,US,Mid-range,62660,3.28,3
Mercedes,GLE EV,2026,Standard,68994.81,48.5,168,130.2,6.02,157,287,240,FWD,7,Van,60.2,1568,5,1,Germany,Premium,79213,3.77,7
Tesla,Model Y,2024,Base,105607.38,44.4,150,201,6.21,163,784,689,FWD,7,Van,79.8,1500,4,2,US,Luxury,422392,3.52,5
Volkswagen,ID. Buzz,2025,Standard,60229.21,40.6,150,137.8,7.86,145,580,569,FWD,7,SUV,45.9,2260,5,1,Germany,Mid-range,215577,3.2,4
BYD,Leaf 50X,2025,Premium,41881.7,82.8,280,147,7.2,138,459,427,AWD,7,SUV,61.7,2237,4,1,China,Mid-range,128802,3.46,3
Tesla,Model 3,2024,Long Range,138760.96,99.4,376,338.9,5.24,175,1000,928,FWD,5,Sedan,19.9,1500,5,2,US,Luxury,204411,3.95,5
NIO,EL8,2022,Base,53544.18,45,186,121.5,5.72,172,279,237,AWD,7,SUV,40.8,1956,4,1,China,Mid-range,10495,3.38,5
Hyundai,Ioniq 5,2025,Long Range,94028.85,102.7,334,104.5,4.08,194,1000,949,AWD,5,SUV,55.4,2407,4,1,South Korea,Premium,71912,3.59,3
BYD,Dolphin,2023,Performance,33904.31,91.8,310,177.7,3.62,200,356,315,RWD,5,Sedan,33.1,1623,4,2,China,Budget,106140,3.65,3
Hyundai,Kona Electric,2025,Long Range,40497.64,109,417,73.7,4.97,177,340,302,AWD,7,SUV,41.8,2284,3,1,South Korea,Mid-range,61921,3.92,3
BYD,Dolphin,2024,Premium,89340.39,64.6,223,111.7,7.58,132,1000,861,AWD,7,Van,67.3,1633,5,2,China,Premium,229760,3.35,4
BYD,Seagull,2023,Long Range,77902.26,85.2,288,67,4.19,183,837,747,AWD,5,SUV,54.1,1861,5,1,China,Premium,177211,3.38,3
Tesla,Model S,2025,Standard,67489.81,67.1,239,339.9,6.73,146,480,402,RWD,5,Coupe,28.4,1692,4,2,US,Premium,226745,3.61,5
Kia,Sportage EV,2025,Performance,99993.15,93.7,336,154,3.15,196,1000,897,RWD,5,SUV,39.6,2114,4,1,South Korea,Premium,52100,3.59,3
Hyundai,Ioniq,2024,Base,29445.04,64.2,222,133,5.4,173,180,200,FWD,7,Hatchback,30.7,1684,5,2,South Korea,Budget,53245,3.2,3
Tesla,Cybertruck,2024,Long Range,57586.87,108.4,364,235.9,5.26,163,428,397,RWD,5,Truck,69.6,2629,4,2,US,Mid-range,136381,3.84,4
BYD,Dolphin,2023,Standard,50127.13,47.6,150,55.7,6.75,140,584,556,FWD,7,Sedan,29.6,1618,4,1,China,Mid-range,176192,3.19,4
Audi,Q6 e-tron,2024,Standard,112837.91,61,222,121.7,6.33,144,864,787,FWD,7,Sedan,17.1,1591,3,1,Germany,Luxury,45029,3.56,8
Tesla,Model Y,2024,Base,40219.61,80.1,308,347.6,5.15,171,274,232,AWD,5,Coupe,17,1547,5,2,US,Mid-range,429025,3.73,5
Hyundai,i30,2025,Base,51159.74,75.6,278,128.5,6.46,153,573,520,AWD,5,Van,79,1683,5,1,South Korea,Mid-range,89226,3.67,4
Porsche,Taycan,2024,Premium,142936.98,54.2,186,345,7.83,130,677,554,RWD,5,SUV,67.8,2128,5,2,Germany,Luxury,23751,3.87,5
BMW,i3,2024,Premium,109123.19,75.8,284,68.8,7.25,136,922,817,AWD,5,Van,68.9,1611,5,1,Germany,Luxury,54152,3.63,8
BYD,Seagull,2024,Base,19470.99,82.7,291,127.9,6.57,159,204,201,FWD,5,Truck,68.2,2552,3,1,China,Budget,210937,3.48,3
GM/Chevrolet,Blazer EV,2025,Standard,46970.49,53.9,191,61.9,5.21,174,476,426,AWD,7,SUV,45.1,1866,4,1,US,Mid-range,6914,3.21,4
Volkswagen,ID. Buzz,2025,Long Range,93619.57,83.5,289,76.7,5.01,172,1000,912,RWD,5,Sedan,19.6,1697,5,1,Germany,Premium,222583,3.38,3
BMW,iX,2025,Long Range,124852.49,85.3,324,119.3,5.97,158,1000,865,FWD,7,Sedan,24.9,1872,3,1,Germany,Luxury,51096,3.39,7
BMW,i5,2025,Standard,97046.62,60,209,79.6,7.79,131,788,683,AWD,5,Hatchback,18.3,1510,5,2,Germany,Premium,66065,3.41,5
Tesla,Model 3,2023,Premium,123494.48,79.1,283,211.3,5.34,175,888,781,AWD,7,SUV,68.9,2083,5,3,US,Luxury,228731,3.4,4
Mercedes,GLE EV,2024,Premium,194076.68,41.1,160,133.6,7.92,136,1000,932,RWD,5,Hatchback,39.6,1581,3,1,Germany,Luxury,69583,3.65,7
BYD,Qin,2021,Standard,47541.74,75.3,274,83.8,7.74,133,520,490,FWD,5,SUV,46,2063,3,1,China,Mid-range,230454,3.4,5
Tesla,Model S,2022,Long Range,133033.76,83.6,310,331.6,4.49,181,932,846,AWD,7,Coupe,34,1500,5,2,US,Luxury,213496,3.81,5
Tesla,Model X,2023,Premium,41055.46,66.5,234,322.9,5.98,157,305,223,AWD,5,Truck,57.8,2601,5,3,US,Mid-range,203412,3.84,4
BMW,i4,2023,Long Range,76874.69,96.7,338,51.5,5.84,159,528,453,AWD,7,Sedan,23.8,1596,5,2,Germany,Premium,29925,3.89,5
Tesla,Model Y,2024,Standard,31623.12,77.5,246,331.8,5.59,165,161,200,FWD,7,Hatchback,28,1500,5,2,US,Budget,457458,3.75,5
BMW,i5,2023,Base,58951.66,72.4,252,112.7,5.44,167,253,248,FWD,5,Van,63.5,1615,5,1,Germany,Mid-range,20422,3.39,8
Tesla,Cybertruck,2023,Base,113861.27,81.2,306,220.4,7.93,131,809,719,AWD,7,Truck,61.3,2449,5,2,US,Luxury,162424,3.82,4
GM/Chevrolet,Blazer EV,2022,Base,24572.41,46.5,182,128.7,5.73,168,150,200,AWD,7,Truck,60.8,2500,4,1,US,Budget,9346,3.53,3
NIO,ET6,2025,Long Range,108463.22,80,263,101.8,4.01,200,1000,882,FWD,7,SUV,41.2,1856,3,1,China,Luxury,18130,3.2,4
Tesla,Model X,2025,Base,71274.6,49.2,150,349.3,6.44,160,586,509,RWD,7,Van,60,1837,5,2,US,Premium,132658,3.6,4
BYD,Leaf 50X,2024,Standard,55111.29,68.4,223,87.6,5.3,171,566,572,RWD,5,Hatchback,25.2,1630,4,1,China,Mid-range,112631,3.46,5
Tesla,Model 3,2025,Standard,132101.43,47.9,150,307.6,7.33,144,997,944,RWD,5,SUV,35.9,1751,5,3,US,Luxury,220080,3.43,6
Rivian,R3,2023,Performance,104608.91,116.3,395,220.2,3.1,200,1000,932,RWD,7,Sedan,15.8,1647,5,1,US,Luxury,4453,3.72,4
Audi,e-tron GT,2026,Performance,126813.57,114.9,393,230.5,4.2,190,1000,899,AWD,5,Sedan,21.8,1634,5,1,Germany,Luxury,35466,3.84,7
BYD,Atto 3,2026,Premium,102365.27,40.6,150,99.9,5.22,182,1000,960,RWD,5,Sedan,35.5,1770,4,1,China,Luxury,112568,3.22,4
BMW,i5,2025,Premium,71335.77,45.4,168,70.7,7.21,143,436,426,RWD,7,Hatchback,25.4,1688,4,2,Germany,Premium,26069,3.19,7
Ford,E-Transit,2026,Performance,52666.03,83.7,310,230.2,3.27,197,496,444,AWD,5,SUV,59.5,1927,5,1,US,Mid-range,76169,3.67,4
Tesla,Model S,2024,Performance,119857.21,83.5,307,348.4,3.03,200,861,780,AWD,5,Truck,74.1,2510,4,2,US,Luxury,142701,4.14,5
Audi,e-tron GT,2025,Long Range,70111.18,75.6,262,143.3,5.27,166,375,380,FWD,5,Coupe,18,1548,3,1,Germany,Premium,79614,3.53,5
Audi,Q6 e-tron,2025,Premium,138510.75,62.7,204,124.6,7.99,133,1000,963,RWD,5,Coupe,37.2,1588,4,1,Germany,Luxury,58972,3.24,6
BMW,iX,2023,Base,90267.93,63,260,67.1,5.59,172,713,591,AWD,5,Hatchback,24.7,1500,4,1,Germany,Premium,26056,3.46,5
Audi,e-tron GT,2025,Base,104530.78,61.3,194,96.2,7.71,135,795,707,RWD,7,SUV,50.8,2104,5,2,Germany,Luxury,52472,3.51,8
Audi,Q6 e-tron,2025,Long Range,97248.51,90.6,304,80.3,5.49,168,720,612,RWD,5,Van,75.7,1500,5,1,Germany,Premium,46587,3.19,6
BMW,iX,2025,Standard,55554.9,41.7,151,100.9,5.73,173,203,200,AWD,5,Van,73.3,1646,5,2,Germany,Mid-range,69514,3.1,8
Tesla,Cybertruck,2026,Base,50614.31,85,304,267,6.34,152,315,263,RWD,7,Truck,66.2,2227,5,2,US,Mid-range,175527,4.02,4
Tesla,Model Y,2025,Base,42292.45,67.3,240,307.7,6.74,159,313,323,RWD,7,Truck,79.8,2648,4,2,US,Mid-range,472726,3.66,5
Audi,Q4 e-tron,2026,Long Range,94110.46,90.4,323,138.2,4.41,188,644,602,FWD,5,Sedan,33.7,1508,4,1,Germany,Premium,38660,3.57,8
Kia,EV9,2025,Standard,77483.58,46.2,176,60.3,7.19,133,950,840,FWD,5,SUV,60.7,1989,3,1,South Korea,Premium,116585,3.02,4
Tesla,Model Y,2022,Long Range,112382.86,81.9,270,243.2,5.21,182,816,719,FWD,5,Coupe,25.1,1583,4,2,US,Luxury,494879,3.77,4
Tesla,Model X,2025,Premium,112066.22,43.2,167,297.1,7.91,134,825,749,FWD,5,Van,75,1720,4,2,US,Luxury,245565,3.75,4
BMW,i7,2024,Long Range,93724.2,100,326,91.1,4.44,188,725,651,AWD,7,Van,72.2,1614,4,1,Germany,Premium,36760,3.63,6
Tesla,Cybertruck,2021,Base,98646.08,76,242,326.8,7.18,143,690,602,RWD,5,Truck,52,2415,5,2,US,Premium,235244,3.9,6
Tesla,Cybertruck,2023,Base,46210.19,70.1,244,291,5.57,171,310,227,AWD,5,Truck,65.1,2463,4,2,US,Mid-range,187848,3.58,4
BMW,i3,2023,Premium,137951.81,60.1,220,71.2,6.56,152,1000,895,RWD,7,Hatchback,22.7,1654,4,1,Germany,Luxury,26110,3.46,7
BYD,Seagull,2025,Base,67469.58,57.5,191,57.3,7.8,138,780,688,AWD,7,Hatchback,21.2,1654,4,1,China,Premium,179136,3.46,4
BYD,Seagull,2025,Long Range,48990.53,99.3,357,57.3,5.58,156,540,454,RWD,5,SUV,58.2,2202,4,1,China,Mid-range,211809,3.67,4
GM/Chevrolet,Bolt EV,2024,Base,56305.37,52,170,83.9,6.49,149,652,577,AWD,5,Van,61.8,1500,4,1,US,Mid-range,2728,3.2,5
BMW,i5,2021,Standard,94181.96,40.8,160,97.4,5.01,176,738,659,AWD,7,Coupe,38.6,1626,5,1,Germany,Premium,79673,3.08,7
Mercedes,GLE EV,2025,Long Range,122338.76,85.1,270,58.6,4,193,741,661,FWD,7,Hatchback,16.6,1843,3,2,Germany,Luxury,52641,4.06,7
BMW,i3,2023,Standard,67705.12,63,239,65.7,5.05,176,410,318,AWD,5,Coupe,27.6,1770,5,2,Germany,Premium,68305,3.3,8
Kia,EV6,2024,Standard,44920.54,57.9,198,78.6,7.88,122,391,344,FWD,5,Truck,68.8,2615,5,1,South Korea,Mid-range,145791,3,5
Tesla,Cybertruck,2024,Premium,47891.48,42.5,164,276.3,5.16,175,346,313,FWD,7,Truck,74,2335,3,2,US,Mid-range,118665,3.65,6
Fisker,Ronin,2024,Premium,67456.63,41.7,150,55.2,5.69,169,509,469,AWD,5,Coupe,16.5,1631,4,1,US,Premium,20333,3.29,4
Volkswagen,ID. Buzz,2025,Long Range,52579.97,94.8,325,90.3,5.3,171,508,499,FWD,5,Hatchback,19,1588,3,1,Germany,Mid-range,238272,3.57,4
Audi,Q4 e-tron,2025,Base,81941.39,40.2,150,138.2,5.44,166,495,468,RWD,5,Coupe,35.5,1693,5,2,Germany,Premium,77358,3,7
BMW,i4,2026,Performance,133852.24,84.9,318,197.1,2.9,200,1000,904,AWD,5,Truck,55,2197,4,2,Germany,Luxury,50521,3.46,7
Hyundai,Ioniq 5,2024,Long Range,83570.15,78.5,258,51.5,4.33,189,1000,924,AWD,5,Coupe,17,1794,5,1,South Korea,Premium,145959,3.37,4
Kia,Picanto EV,2022,Performance,111175.38,89.2,319,178.4,3.67,190,1000,964,RWD,5,Hatchback,18.8,1538,5,1,South Korea,Luxury,51798,3.75,5
Tesla,Model Y,2023,Standard,44516.36,56.4,227,211.2,6.51,147,308,239,FWD,5,Sedan,15.2,1513,4,2,US,Mid-range,403294,3.48,5
BYD,Yuan Plus,2024,Premium,107358.88,58.4,205,140.8,7.41,132,1000,888,FWD,7,Coupe,27.3,1661,3,1,China,Luxury,110469,3.56,4
Tesla,Model Y,2026,Standard,78088.26,70.2,245,310.8,7.6,130,599,573,AWD,7,Sedan,26.8,1514,5,2,US,Premium,489120,3.77,5
BMW,i5,2025,Performance,132666.58,82,299,208.4,3.52,194,1000,873,AWD,7,Van,68.2,1817,5,1,Germany,Luxury,71584,3.74,6
Tesla,Model X,2023,Premium,100324.34,79.9,300,214.5,6.43,150,724,607,AWD,5,Coupe,22.9,1500,4,2,US,Luxury,121739,3.62,4
Rivian,R3,2023,Standard,81874.34,83.6,317,132.5,5.17,177,866,733,AWD,5,Sedan,37.9,1668,4,1,US,Premium,1989,3.61,4
Volkswagen,ID. Aero,2024,Long Range,59514,103.6,337,124.5,4.16,183,577,501,FWD,7,SUV,68.7,1974,4,2,Germany,Mid-range,230145,3.7,3
